Order_ID,Date,Region,Category,Product,Units_Sold,Unit_Price,Sales_Status,Total_Revenue
ORD-1001,2024-01-01,East,Furniture,Desk Lamp,6,450.0,Completed,2700.0
ORD-1002,2024-01-02,West,Furniture,Laptop Pro,13,450.0,Completed,5850.0
ORD-1003,2024-01-03,North,Furniture,Ergonomic Chair,2,1200.0,Completed,2400.0
ORD-1004,2024-01-04,East,Electronics,4K Monitor,10,25.0,Completed,250.0
ORD-1005,2024-01-05,East,Electronics,Laptop Pro,12,1200.0,Pending,14400.0
ORD-1006,2024-01-06,West,Furniture,4K Monitor,2,1200.0,Completed,2400.0
ORD-1007,2024-01-07,North,Furniture,Ergonomic Chair,10,25.0,Shipped,250.0
ORD-1008,2024-01-08,North,Electronics,Ergonomic Chair,14,25.0,Completed,350.0
ORD-1009,2024-01-09,East,Electronics,Laptop Pro,4,25.0,Completed,100.0
ORD-1010,2024-01-10,South,Electronics,Ergonomic Chair,14,25.0,Pending,350.0
ORD-1011,2024-01-11,East,Office Supplies,Desk Lamp,8,450.0,Pending,3600.0
ORD-1012,2024-01-12,East,Office Supplies,Ergonomic Chair,14,250.0,Completed,3500.0
ORD-1013,2024-01-13,East,Office Supplies,4K Monitor,7,250.0,Pending,1750.0
ORD-1014,2024-01-14,East,Furniture,4K Monitor,12,25.0,Completed,300.0
ORD-1015,2024-01-15,West,Office Supplies,4K Monitor,9,250.0,Completed,2250.0
ORD-1016,2024-01-16,North,Furniture,4K Monitor,14,250.0,Completed,3500.0
ORD-1017,2024-01-17,West,Furniture,Desk Lamp,8,25.0,Completed,200.0
ORD-1018,2024-01-18,West,Office Supplies,Wireless Mouse,5,250.0,Completed,1250.0
ORD-1019,2024-01-19,West,Furniture,Laptop Pro,13,1200.0,Completed,15600.0
ORD-1020,2024-01-20,East,Office Supplies,4K Monitor,2,85.0,Completed,170.0
ORD-1021,2024-01-21,South,Office Supplies,Ergonomic Chair,5,85.0,Completed,425.0
ORD-1022,2024-01-22,North,Electronics,4K Monitor,8,25.0,Completed,200.0
ORD-1023,2024-01-23,South,Office Supplies,Ergonomic Chair,10,450.0,Shipped,4500.0
ORD-1024,2024-01-24,West,Electronics,Ergonomic Chair,9,25.0,Completed,225.0
ORD-1025,2024-01-25,West,Office Supplies,4K Monitor,12,450.0,Completed,5400.0
