TX_ID,Timestamp,Account_Type,Category,Amount_USD,Risk_Rating
TXN-10000,2024-02-01 08:00,Savings,Subscription,2976.42,Low
TXN-10001,2024-02-01 09:00,Savings,Wire Transfer,3670.41,Low
TXN-10002,2024-02-01 10:00,Corporate,Refund,9880.85,Low
TXN-10003,2024-02-01 11:00,Investment,Payroll,17.21,Low
TXN-10004,2024-02-01 12:00,Investment,Refund,-1313.33,Low
TXN-10005,2024-02-01 13:00,Savings,Wire Transfer,-3382.54,Low
TXN-10006,2024-02-01 14:00,Investment,Wire Transfer,3566.29,Low
TXN-10007,2024-02-01 15:00,Checking,Wire Transfer,8770.0,Low
TXN-10008,2024-02-01 16:00,Savings,Refund,-3836.13,High
TXN-10009,2024-02-01 17:00,Investment,Wire Transfer,13304.27,Low
TXN-10010,2024-02-01 18:00,Savings,Refund,3847.04,Low
TXN-10011,2024-02-01 19:00,Checking,Wire Transfer,-204.25,Medium
TXN-10012,2024-02-01 20:00,Savings,Subscription,-3122.53,Medium
TXN-10013,2024-02-01 21:00,Savings,Wire Transfer,-1342.68,Low
TXN-10014,2024-02-01 22:00,Savings,Refund,13692.28,Low
TXN-10015,2024-02-01 23:00,Savings,Vendor Payment,7765.41,Low
TXN-10016,2024-02-02 00:00,Checking,Wire Transfer,5333.93,Low
TXN-10017,2024-02-02 01:00,Corporate,Vendor Payment,8142.23,High
TXN-10018,2024-02-02 02:00,Savings,Subscription,3713.46,Medium
TXN-10019,2024-02-02 03:00,Savings,Payroll,9600.79,Low
