order_id,order_date,customer,category,product,quantity,unit_price,revenue,region,status
1001,2024-01-05,Alice Corp,Electronics,Laptop Pro,2,1200.00,2400.00,North,Completed
1002,2024-01-12,Beta Ltd,Clothing,Winter Jacket,5,89.99,449.95,South,Completed
1003,2024-01-18,Gamma Inc,Electronics,Wireless Mouse,10,29.99,299.90,East,Completed
1004,2024-02-03,Alice Corp,Home & Garden,Coffee Maker,3,79.99,239.97,North,Completed
1005,2024-02-14,Delta Co,Electronics,Monitor 27",1,399.00,399.00,West,Completed
1006,2024-02-22,Beta Ltd,Clothing,Running Shoes,8,120.00,960.00,South,Returned
1007,2024-03-01,Epsilon LLC,Home & Garden,Blender,4,59.99,239.96,East,Completed
1008,2024-03-10,Gamma Inc,Electronics,Laptop Pro,1,1200.00,1200.00,East,Completed
1009,2024-03-19,Zeta Corp,Clothing,Dress Shirt,12,45.00,540.00,North,Completed
1010,2024-04-02,Alice Corp,Electronics,Wireless Mouse,20,29.99,599.80,North,Completed
1011,2024-04-15,Delta Co,Home & Garden,Garden Hose,6,35.00,210.00,West,Completed
1012,2024-04-28,Beta Ltd,Electronics,Monitor 27",2,399.00,798.00,South,Completed
1013,2024-05-05,Epsilon LLC,Clothing,Winter Jacket,3,89.99,269.97,East,Completed
1014,2024-05-20,Zeta Corp,Electronics,Laptop Pro,2,1200.00,2400.00,North,Completed
1015,2024-06-01,Gamma Inc,Home & Garden,Coffee Maker,5,79.99,399.95,East,Returned
1016,2024-06-14,Alice Corp,Clothing,Running Shoes,4,120.00,480.00,North,Completed
1017,2024-06-25,Delta Co,Electronics,Wireless Mouse,15,29.99,449.85,West,Completed
1018,2024-07-08,Beta Ltd,Home & Garden,Blender,7,59.99,419.93,South,Completed
1019,2024-07-19,Epsilon LLC,Electronics,Monitor 27",3,399.00,1197.00,East,Completed
1020,2024-08-02,Zeta Corp,Clothing,Dress Shirt,10,45.00,450.00,North,Completed
